,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
0,Z0_C1_T00.tif,0_1,24,0.812037457950629,18.14213562373095,19374.708333333332,Z0_C0_T00.tif,9698.458333333334,1.9977101171577953
1,Z0_C1_T00.tif,0_2,25,0.680884883583399,20.14213562373095,19566.92,Z0_C0_T00.tif,9201.48,2.1264970417802354
2,Z0_C1_T00.tif,0_3,26,0.7527114281460663,15.899494936611665,20930.0,Z0_C0_T00.tif,10293.538461538461,2.033314401865248
3,Z0_C1_T00.tif,0_4,27,0.7835035785447256,20.14213562373095,21695.814814814814,Z0_C0_T00.tif,11115.814814814816,1.9517970725726106
4,Z0_C1_T00.tif,0_5,11,0.7559289460184544,9.65685424949238,19805.81818181818,Z0_C0_T00.tif,10964.727272727272,1.8063210957450335
5,Z0_C1_T00.tif,0_6,14,0.8506877704240235,11.071067811865476,21067.785714285714,Z0_C0_T00.tif,11529.5,1.8272939602138614
6,Z0_C1_T00.tif,0_7,5,0.0,5.656854249492381,19149.0,Z0_C0_T00.tif,11689.2,1.6381788317421209
7,Z0_C1_T00.tif,0_8,5,0.0,5.656854249492381,23769.8,Z0_C0_T00.tif,9600.8,2.4758145154570452
8,Z0_C1_T00.tif,0_9,5,0.0,5.656854249492381,19378.2,Z0_C0_T00.tif,11917.6,1.6260153050949855
9,Z0_C1_T00.tif,0_10,5,0.0,5.656854249492381,19892.8,Z0_C0_T00.tif,10552.0,1.8852160727824108
10,Z0_C1_T00.tif,0_11,16,0.8667760542359325,12.485281374238571,17073.125,Z0_C0_T00.tif,10716.75,1.593125247859659
11,Z0_C1_T00.tif,0_12,58,0.8805343534750497,37.62741699796952,21040.431034482757,Z0_C0_T00.tif,11444.155172413793,1.8385307362137877
12,Z0_C1_T00.tif,0_13,20,0.7184285941254597,15.31370849898476,22486.3,Z0_C0_T00.tif,12142.5,1.851867407864937
13,Z0_C1_T00.tif,0_14,18,0.8295519370209288,11.899494936611665,16645.055555555555,Z0_C0_T00.tif,11418.444444444445,1.4577340754724324
14,Z0_C1_T00.tif,0_15,29,0.6331278847070844,20.14213562373095,21549.379310344826,Z0_C0_T00.tif,10231.241379310344,2.10623310617244
15,Z0_C1_T00.tif,0_16,30,0.43059285853132745,17.899494936611667,19921.466666666667,Z0_C0_T00.tif,10416.3,1.912528120989859
16,Z0_C1_T01.tif,1_1,30,0.6400555418164536,17.31370849898476,19667.833333333332,Z0_C0_T01.tif,10061.466666666667,1.9547680258676665
