,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
0,Z0_C1_T00.tif,0_1,65,0.8701437435348356,42.24873734152916,9509.226153846155,Z0_C0_T00.tif,5047.146923076922,1.8840795203261074
1,Z0_C1_T00.tif,0_2,15,0.7332355751067665,13.106601717798213,7705.246666666663,Z0_C0_T00.tif,8248.47,0.9341425339083083
2,Z0_C1_T00.tif,0_3,20,0.8490635172318528,12.278174593052023,8837.929999999998,Z0_C0_T00.tif,5722.67,1.5443717705197046
3,Z0_C1_T00.tif,0_4,5,0.0,5.656854249492381,6267.38,Z0_C0_T00.tif,8876.27,0.7060826225430277
4,Z0_C1_T00.tif,0_5,10,0.6164414002968978,9.071067811865476,7496.579999999999,Z0_C0_T00.tif,8110.17,0.924343139539615
5,Z0_C1_T00.tif,0_6,5,0.0,5.656854249492381,7411.9800000000005,Z0_C0_T00.tif,8657.67,0.8561171770233793
6,Z0_C1_T00.tif,0_7,10,0.6164414002968978,9.071067811865476,8296.279999999999,Z0_C0_T00.tif,6113.969999999999,1.3569382905051872
7,Z0_C1_T00.tif,0_8,8,0.816496580927726,5.656854249492381,9215.18,Z0_C0_T00.tif,5719.295,1.611244043190638
8,Z0_C1_T00.tif,0_9,154,0.5275998707443355,76.70458146424488,10362.69948051948,Z0_C0_T00.tif,5242.8842857142845,1.9765264529594093
9,Z0_C1_T00.tif,0_10,24,0.9048812389780565,17.899494936611664,6105.93,Z0_C0_T00.tif,4840.545000000001,1.2614137457662307
10,Z0_C1_T01.tif,1_1,12,0.7675786521898157,10.485281374238571,8139.126666666666,Z0_C0_T01.tif,3082.7566666666667,2.6402105474861783
11,Z0_C1_T01.tif,1_2,8,0.5773502691896258,7.65685424949238,8739.585,Z0_C0_T01.tif,5207.09,1.6784009878838275
12,Z0_C1_T01.tif,1_3,9,0.8451542547285166,8.485281374238571,8944.015555555556,Z0_C0_T01.tif,6623.562222222222,1.3503331372879919
13,Z0_C1_T01.tif,1_4,5,0.0,5.656854249492381,8834.859999999999,Z0_C0_T01.tif,4978.14,1.7747311244762096
14,Z0_C1_T01.tif,1_5,59,0.917733601288765,42.07716446627535,11613.76508474576,Z0_C0_T01.tif,5093.763728813561,2.2799968163130404
15,Z0_C1_T01.tif,1_6,26,0.6436982692176546,15.31370849898476,12082.729230769231,Z0_C0_T01.tif,6305.955384615385,1.916082257772933
16,Z0_C1_T02.tif,2_1,19,0.848964545302381,15.106601717798213,11029.540000000003,Z0_C0_T02.tif,6351.636842105262,1.7364878178936063
17,Z0_C1_T02.tif,2_2,22,0.5949125998891781,15.899494936611665,12544.54,Z0_C0_T02.tif,4794.036363636362,2.6166968809733318
18,Z0_C1_T02.tif,2_3,9,0.8451542547285166,8.485281374238571,8961.65111111111,Z0_C0_T02.tif,8170.233333333333,1.0968659945792383
19,Z0_C1_T02.tif,2_4,87,0.7464300550992801,55.35533905932738,11926.091724137936,Z0_C0_T02.tif,5698.934482758623,2.0926879858364327
20,Z0_C1_T02.tif,2_5,5,0.0,5.656854249492381,6915.9400000000005,Z0_C0_T02.tif,4818.1,1.4354081484402565
21,Z0_C1_T03.tif,3_1,30,0.6196527628686435,19.10660171779821,11340.680000000004,Z0_C0_T03.tif,5894.9800000000005,1.9237860009703176
22,Z0_C1_T03.tif,3_2,21,0.8211382979545698,15.106601717798215,9389.494285714285,Z0_C0_T03.tif,6232.184761904762,1.5066135944988486
23,Z0_C1_T03.tif,3_3,59,0.8238774158226982,40.21320343559643,10875.69525423729,Z0_C0_T03.tif,5327.551186440679,2.0414060557348317
24,Z0_C1_T03.tif,3_4,8,0.816496580927726,5.656854249492381,10283.029999999999,Z0_C0_T03.tif,7039.155000000001,1.460833011916913
25,Z0_C1_T03.tif,3_5,8,0.5773502691896258,7.65685424949238,10792.654999999999,Z0_C0_T03.tif,5047.405000000001,2.138258174249936
