,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
0,00_C1_T00.tif,0_1,5,0.0,5.656854249492381,6705.2,00_C0_T00.tif,11263.6,0.5952981284846762
1,00_C1_T00.tif,0_2,5,0.0,5.656854249492381,6494.8,00_C0_T00.tif,11391.0,0.5701694320077254
2,00_C1_T00.tif,0_3,5,0.0,5.656854249492381,5691.2,00_C0_T00.tif,9061.2,0.6280845804087758
3,00_C1_T00.tif,0_4,34,0.9008084241132583,27.59188309203678,9151.64705882353,00_C0_T00.tif,11460.941176470587,0.7985074626865672
4,00_C1_T00.tif,0_5,8,0.816496580927726,5.656854249492381,8983.375,00_C0_T00.tif,8968.0,1.0017144290811775
5,00_C1_T00.tif,0_6,5,0.0,5.656854249492381,8381.4,00_C0_T00.tif,9914.0,0.8454105305628404
6,00_C1_T00.tif,0_7,5,0.0,5.656854249492381,8572.4,00_C0_T00.tif,10094.2,0.8492401577143309
7,00_C1_T00.tif,0_8,10,0.6164414002968978,9.071067811865476,6277.1,00_C0_T00.tif,8483.6,0.7399099438917441
8,00_C1_T00.tif,0_9,3,0.816496580927726,3.414213562373095,5569.333333333333,00_C0_T00.tif,7600.333333333333,0.7327748782948116
9,00_C1_T01.tif,1_1,5,0.0,5.656854249492381,11983.8,00_C0_T01.tif,9170.8,1.3067344179351856
10,00_C1_T02.tif,2_1,5,0.0,5.656854249492381,7741.0,00_C0_T02.tif,9562.8,0.8094909440749571
11,00_C1_T03.tif,3_1,5,0.0,5.656854249492381,5326.6,00_C0_T03.tif,9577.2,0.5561750824875746
12,00_C1_T03.tif,3_2,5,0.0,5.656854249492381,6496.2,00_C0_T03.tif,9338.2,0.695658692253325
13,00_C1_T03.tif,3_3,5,0.0,5.656854249492381,8926.4,00_C0_T03.tif,10370.2,0.860774141289464
14,00_C1_T04.tif,4_1,8,0.5773502691896258,7.65685424949238,7060.5,00_C0_T04.tif,8294.875,0.8511882336985187
15,00_C1_T04.tif,4_2,5,0.0,5.656854249492381,8351.6,00_C0_T04.tif,8870.8,0.9414708932678001
16,00_C1_T04.tif,4_3,10,0.6164414002968978,9.071067811865476,6876.7,00_C0_T04.tif,9498.7,0.7239622264099297
17,00_C1_T04.tif,4_4,5,0.0,5.656854249492381,9115.6,00_C0_T04.tif,10246.4,0.8896392879450344
18,00_C1_T04.tif,4_5,8,0.816496580927726,5.656854249492381,7026.375,00_C0_T04.tif,8349.375,0.8415450258252863
19,00_C1_T05.tif,5_1,5,0.0,5.656854249492381,8131.8,00_C0_T05.tif,9447.4,0.8607447551707349
20,00_C1_T05.tif,5_2,5,0.0,5.656854249492381,7214.0,00_C0_T05.tif,10753.6,0.670845112334474
21,00_C1_T05.tif,5_3,4,0.7905694150420949,4.621320343559642,6652.75,00_C0_T05.tif,9966.5,0.66751116239402
22,00_C1_T06.tif,6_1,6,0.8703882797784891,6.414213562373095,6601.833333333333,00_C0_T06.tif,8531.5,0.7738185938385199
23,00_C1_T06.tif,6_2,5,0.0,5.656854249492381,6930.6,00_C0_T06.tif,10457.0,0.6627713493353735
24,00_C1_T07.tif,7_1,5,0.0,5.656854249492381,6812.8,00_C0_T07.tif,9168.4,0.7430740369093844
25,00_C1_T08.tif,8_1,5,0.0,5.656854249492381,6246.2,00_C0_T08.tif,7734.0,0.8076286527023532
26,00_C1_T08.tif,8_2,5,0.0,5.656854249492381,7516.0,00_C0_T08.tif,10291.0,0.7303469050626761
27,00_C1_T08.tif,8_3,5,0.0,5.656854249492381,7114.8,00_C0_T08.tif,10064.8,0.7068992925840554
28,00_C1_T08.tif,8_4,5,0.0,5.656854249492381,7499.0,00_C0_T08.tif,9893.4,0.7579800675197607
29,00_C1_T08.tif,8_5,5,0.0,5.656854249492381,7013.0,00_C0_T08.tif,9750.2,0.7192672970810855
30,00_C1_T08.tif,8_6,5,0.0,5.656854249492381,7440.0,00_C0_T08.tif,8588.6,0.8662645832848194
31,00_C1_T08.tif,8_7,5,0.0,5.656854249492381,6282.4,00_C0_T08.tif,10180.0,0.61713163064833
32,00_C1_T08.tif,8_8,5,0.0,5.656854249492381,6806.2,00_C0_T08.tif,9625.6,0.7070935837765957
33,00_C1_T08.tif,8_9,5,0.0,5.656854249492381,10018.6,00_C0_T08.tif,9507.4,1.0537686433725308
34,00_C1_T08.tif,8_10,5,0.0,5.656854249492381,6747.2,00_C0_T08.tif,8504.8,0.7933402313987395
35,00_C1_T08.tif,8_11,8,0.816496580927726,5.656854249492381,6209.5,00_C0_T08.tif,10051.75,0.6177531275648519
36,00_C1_T08.tif,8_12,5,0.0,5.656854249492381,6599.0,00_C0_T08.tif,8369.0,0.7885051977536145
37,00_C1_T08.tif,8_13,9,0.8451542547285166,8.485281374238571,6407.888888888889,00_C0_T08.tif,10955.888888888889,0.5848807845603075
38,00_C1_T08.tif,8_14,8,0.5773502691896258,7.65685424949238,6897.625,00_C0_T08.tif,8607.0,0.8013971186243755
39,00_C1_T08.tif,8_15,8,0.5773502691896258,7.65685424949238,5820.625,00_C0_T08.tif,8116.75,0.7171127606492746
40,00_C1_T09.tif,9_1,8,0.5773502691896258,7.65685424949238,6217.875,00_C0_T09.tif,10906.875,0.5700876740587932
41,00_C1_T09.tif,9_2,25,0.9401442679409114,19.31370849898476,7318.12,00_C0_T09.tif,9561.8,0.7653496203643666
42,00_C1_T09.tif,9_3,5,0.0,5.656854249492381,7070.2,00_C0_T09.tif,8843.8,0.7994527239421968
43,00_C1_T09.tif,9_4,5,0.0,5.656854249492381,8923.8,00_C0_T09.tif,8471.0,1.0534529571479163
44,00_C1_T09.tif,9_5,5,0.0,5.656854249492381,7778.8,00_C0_T09.tif,9812.6,0.7927358702076921
45,00_C1_T09.tif,9_6,5,0.0,5.656854249492381,9119.2,00_C0_T09.tif,9347.0,0.9756285439178347
46,00_C1_T09.tif,9_7,5,0.0,5.656854249492381,7055.8,00_C0_T09.tif,9842.0,0.7169071326966064
47,00_C1_T09.tif,9_8,5,0.0,5.656854249492381,5677.0,00_C0_T09.tif,10626.8,0.5342153799826853
48,01_C1_T00.tif,11_1,27,0.7499438668620106,18.14213562373095,12995.555555555555,01_C0_T00.tif,12565.407407407407,1.0342327259436548
49,01_C1_T00.tif,11_2,5,0.0,5.656854249492381,11235.4,01_C0_T00.tif,8615.8,1.304046054922352
50,01_C1_T00.tif,11_3,5,0.0,5.656854249492381,10244.6,01_C0_T00.tif,17064.2,0.6003563014967007
