,label,mean_intensity_YFP_astrin,fname_YFP_astrin,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,YFP_astrin_cyto,CENP_B_ds_red_cyto,YFP_astrinbg,CENP_B_ds_red_bg
0,0_1,45001.977325008214,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T00.tif,24125.786723628,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T00.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
1,0_2,33343.21428571428,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T00.tif,21630.928571428572,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T00.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
2,1_1,42626.95250284414,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T01.tif,24606.669795221842,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T01.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
3,1_2,31862.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T01.tif,28744.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T01.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
4,1_3,32053.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T01.tif,27793.083333333332,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T01.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
5,1_4,31007.916666666668,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T01.tif,25749.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T01.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
6,2_1,41825.82351329131,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T02.tif,24536.131542888463,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T02.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
7,2_2,29918.375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T02.tif,21566.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T02.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
8,2_3,30902.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T02.tif,29010.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T02.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
9,2_4,31055.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C1_T02.tif,28308.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry02_R3D_D3D_Z0_C0_T02.tif,27560.994575045206,26017.78047546788,14244.845,17316.7825
