,label,mean_intensity_YFP_astrin,fname_YFP_astrin,mean_intensity_cenpb_ds_red,fname_cenpb_ds_red,YFP_astrin_cyto,cenpb_ds_red_cyto,YFP_astrinbg,cenpb_ds_red_bg
0,0_1,13018.830303030303,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,16934.81818181818,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
1,0_2,12620.233333333334,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,17198.666666666668,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
2,0_3,11590.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,18482.043478260868,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
3,0_4,12000.6,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,16436.06,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
4,0_5,12273.368421052632,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,17970.684210526317,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
5,0_6,12275.43137254902,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,17200.13725490196,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
6,0_7,11963.208333333334,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,16841.854166666668,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
7,0_8,11878.727272727272,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,16352.363636363636,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
8,0_9,14392.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,16191.08292682927,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
9,1_1,13641.525423728814,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,16732.01694915254,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,6849.587951807229,18759.58804108584,4461.925,11929.33
