,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,65,16115.476923076923,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,13834.046153846153,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
1,0_2,15,19316.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,12030.066666666668,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
2,0_3,20,16791.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,13162.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
3,0_4,5,19944.6,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,10592.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
4,0_5,10,19178.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,11821.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
5,0_6,5,19726.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,11736.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
6,0_7,10,17182.3,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,12621.1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
7,0_8,8,16787.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,13540.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
8,0_9,154,16311.214285714286,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,14687.51948051948,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
9,0_10,24,15908.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T00.tif,19078.85379375891,11914.1625,10430.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T00.tif,8022.493436553349,4431.41
10,1_1,12,14109.416666666666,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,12368.666666666666,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
11,1_2,8,16233.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,12969.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
12,1_3,9,17650.222222222223,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,13173.555555555555,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
13,1_4,5,16004.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,13064.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
14,1_5,59,16120.42372881356,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,15843.305084745763,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
15,1_6,26,17332.615384615383,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T01.tif,19376.98907785926,12270.4925,16312.26923076923,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T01.tif,8496.870946171848,4359.8925
16,2_1,19,17465.736842105263,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T02.tif,19346.993779904307,12265.6575,15100.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T02.tif,8145.593199757134,4385.5275
17,2_2,22,15908.136363636364,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T02.tif,19346.993779904307,12265.6575,16615.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T02.tif,8145.593199757134,4385.5275
18,2_3,9,19284.333333333332,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T02.tif,19346.993779904307,12265.6575,13032.111111111111,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T02.tif,8145.593199757134,4385.5275
19,2_4,87,16813.03448275862,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T02.tif,19346.993779904307,12265.6575,15996.551724137931,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T02.tif,8145.593199757134,4385.5275
20,2_5,5,15932.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T02.tif,19346.993779904307,12265.6575,10986.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T02.tif,8145.593199757134,4385.5275
21,3_1,30,16910.7,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,15522.9,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
22,3_2,21,17247.904761904763,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,13571.714285714286,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
23,3_3,59,16343.271186440677,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,15057.915254237289,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
24,3_4,8,18054.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,14465.25,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
25,3_5,8,16063.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T03.tif,19442.982725217953,12220.3425,14974.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T03.tif,8313.24172615185,4421.0525
26,4_1,46,15638.239130434782,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14585.58695652174,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
27,4_2,5,17136.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14514.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
28,4_3,35,17545.77142857143,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,15264.371428571429,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
29,4_4,5,16186.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,15994.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
30,4_5,32,16826.28125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T04.tif,19293.841684347968,12117.1175,14149.34375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T04.tif,8171.011213720317,4448.1775
31,5_1,45,15696.08888888889,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C0_T05.tif,19244.87874531835,12154.88,13580.555555555555,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry03_R3D_D3D_Z0_C1_T05.tif,8262.110954063604,4386.4675
