,label,mean_intensity_YFP_astrin,fname_YFP_astrin,mean_intensity_cenpb_ds_red,fname_cenpb_ds_red,YFP_astrin_cyto,cenpb_ds_red_cyto,YFP_astrin_bg,cenpb_ds_red_bg
0,0_1,6780.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9117.375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
1,0_2,7658.1694417238,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10189.051909892263,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
2,0_3,6238.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8853.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
3,0_4,6542.375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10369.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
4,0_5,6050.1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9559.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
5,0_6,7104.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,11199.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
6,0_7,6138.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8798.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
7,0_8,6581.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9321.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
8,0_9,6710.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10538.73076923077,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
9,0_10,6250.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8835.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
10,0_11,7954.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10557.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
11,0_12,6252.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10989.4375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
12,0_13,7085.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,12590.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
13,0_14,6292.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9698.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
14,0_15,6973.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10516.25,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
15,0_16,7273.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9733.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
16,0_17,5963.333333333333,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10852.25,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
17,0_18,7305.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10937.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
18,0_19,6723.375,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,12981.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
19,0_20,7173.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10773.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
20,0_21,6922.642857142857,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10770.857142857143,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
21,0_22,6604.428571428572,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10930.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
22,0_23,6962.7037037037035,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10465.25925925926,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
23,0_24,7056.25,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10430.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
24,0_25,6536.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9372.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
25,0_26,7446.962962962963,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8998.981481481482,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
26,0_27,6222.833333333333,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9496.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
27,0_28,7574.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10195.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
28,0_29,6164.625,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,12223.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
29,0_30,6222.736842105263,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9547.21052631579,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
30,0_31,5680.461538461538,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9848.153846153846,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
31,0_32,6868.4,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8664.6,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
32,0_33,6061.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9446.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
33,0_34,7400.446428571428,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9855.05357142857,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
34,0_35,6327.25,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10258.666666666666,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
35,0_36,7151.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,10126.125,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
36,0_37,6072.833333333333,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8714.75,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
37,0_38,5912.857142857143,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,9835.285714285714,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
38,0_39,6225.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T00.tif,8481.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T00.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
39,1_1,6298.571428571428,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T01.tif,10571.07142857143,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T01.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
40,1_2,6718.875,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C1_T01.tif,8662.291666666666,Exp2018_032_IV_HeLa_MG132_YFP-AstrinWT_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z00_C0_T01.tif,5956.740069314849,9595.626751905582,3597.7925,6489.57
