,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,12.0,16265.75,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,21233.25,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
1,0_2,8.0,25478.5,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,16797.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
2,0_3,29.0,22891.068965517243,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,23347.55172413793,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
3,0_4,20.0,25917.05,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,17612.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
4,0_5,62.0,22117.451612903227,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,21280.09677419355,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
5,0_6,92.0,22092.608695652172,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,18739.271739130436,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
6,0_7,22.0,20112.68181818182,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,19382.772727272728,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
7,0_8,27.0,16894.703703703704,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,19908.938950831656,13284.205,17744.666666666668,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,13311.775386480751,5869.3025
8,1_1,5.0,29992.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,20583.479774223895,13829.7525,14531.6,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,13179.531478770132,5799.2825
9,1_2,40.0,20383.825,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,20583.479774223895,13829.7525,22993.7,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,13179.531478770132,5799.2825
10,1_3,5.0,21094.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,20583.479774223895,13829.7525,20883.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,13179.531478770132,5799.2825
