,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,5,32610.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,26821.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
1,0_2,5,34732.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,38086.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
2,0_3,22,33067.22727272727,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,37207.09090909091,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
3,0_4,9,28174.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,37269.77777777778,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
4,0_5,28,31604.785714285714,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,35048.92857142857,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
5,0_6,5,26428.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,34465.25311498754,27036.4425,26939.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,21324.93600430223,8359.945
6,1_1,5,33621.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T01.tif,35909.698137443804,28636.075,33047.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T01.tif,20664.802521008405,8434.955
7,1_2,16,30909.75,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T01.tif,35909.698137443804,28636.075,38607.875,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T01.tif,20664.802521008405,8434.955
8,1_3,11,30963.18181818182,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T01.tif,35909.698137443804,28636.075,32335.727272727272,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T01.tif,20664.802521008405,8434.955
9,1_4,5,35140.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T01.tif,35909.698137443804,28636.075,27647.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T01.tif,20664.802521008405,8434.955
10,1_5,5,36499.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T01.tif,35909.698137443804,28636.075,33464.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T01.tif,20664.802521008405,8434.955
11,2_1,13,32310.076923076922,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,37210.230769230766,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
12,2_2,5,40388.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,30163.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
13,2_3,11,37748.27272727273,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,29122.909090909092,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
14,2_4,5,29223.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,33287.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
15,2_5,19,30801.842105263157,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,41378.15789473684,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
16,2_6,5,37036.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T02.tif,36316.52101078932,28706.4675,45788.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T02.tif,21032.2489524279,8253.9325
17,3_1,17,30268.235294117647,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,29398.117647058825,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
18,3_2,13,31530.46153846154,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,29893.384615384617,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
19,3_3,21,33275.95238095238,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,33014.857142857145,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
20,3_4,19,34694.26315789474,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,28810.21052631579,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
21,3_5,10,34303.3,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,26899.1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
22,3_6,20,33916.3,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,31354.25,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
23,3_7,10,32897.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,27143.1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
24,3_8,8,36680.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,26813.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
25,3_9,8,28566.75,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,23346.75,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
26,3_10,5,35747.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C0_T03.tif,36496.27593537415,29558.6675,27871.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_03_R3D_D3D_Z0_C1_T03.tif,20669.805367444194,8365.345
