,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,31,13500.0,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,9574.258064516129,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
1,0_2,58,16889.120689655174,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,10028.224137931034,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
2,0_3,36,15494.083333333334,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,11088.833333333334,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
3,0_4,36,17068.86111111111,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,8735.861111111111,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
4,0_5,110,16333.89090909091,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,9931.336363636363,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
5,0_6,61,15547.27868852459,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,8775.04918032787,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
6,0_7,50,15656.1,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,10448.78,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
7,0_8,40,16210.2,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,8524.4,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
8,0_9,29,15360.48275862069,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,9726.620689655172,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
9,0_10,35,14962.857142857143,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,8196.171428571428,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
10,0_11,51,16038.666666666666,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,10796.70588235294,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
11,0_12,36,15072.333333333334,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,8584.222222222223,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
12,0_13,38,16468.026315789473,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,10615.605263157895,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
13,0_14,14,14281.92857142857,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,11779.357142857143,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
14,0_15,8,14060.25,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,5091.25,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
15,0_16,12,13458.916666666666,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,7456.916666666667,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
16,0_17,7,13538.285714285714,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C0_T0.tif,7765.69349671182,5915.86,7159.857142857143,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z00_C1_T0.tif,5731.945472087298,2690.34
17,1_1,39,13317.820512820514,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9799.589743589744,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
18,1_2,56,17604.39285714286,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9888.357142857143,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
19,1_3,32,15808.6875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,11713.375,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
20,1_4,35,15889.971428571429,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9028.714285714286,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
21,1_5,102,16323.088235294117,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,10095.176470588236,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
22,1_6,61,15691.311475409837,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,8827.819672131147,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
23,1_7,38,14984.552631578947,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9991.736842105263,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
24,1_8,39,16560.02564102564,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9056.538461538461,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
25,1_9,29,14790.51724137931,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9272.068965517241,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
26,1_10,41,16370.512195121952,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,8345.073170731708,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
27,1_11,52,15550.26923076923,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,11082.76923076923,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
28,1_12,30,15599.6,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9128.266666666666,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
29,1_13,34,15254.0,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,11020.911764705883,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
30,1_14,31,14273.612903225807,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,9866.774193548386,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
31,1_15,10,12914.7,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C0_T0.tif,7605.171288436144,5837.105,4493.7,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell03_b_14min01_R3D_D3D_Z01_C1_T0.tif,3713.5373684210526,2656.4625
