,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,59,13400.084745762711,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,7702.881355932203,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
1,0_2,38,16432.28947368421,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,16177.21052631579,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
2,0_3,21,13089.047619047618,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,9864.190476190477,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
3,0_4,21,13257.904761904761,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,10279.0,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
4,0_5,21,13965.238095238095,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,9395.809523809523,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
5,0_6,12,13573.5,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,7850.833333333333,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
6,0_7,32,13971.6875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,13088.875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
7,0_8,33,13906.424242424242,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,12347.060606060606,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
8,0_9,32,15378.15625,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,13105.21875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
9,0_10,47,15114.08510638298,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498797,5498.0175,13941.72340425532,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.181546683432,6258.6425
