,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,41,14945.80487804878,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,7511.90243902439,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
1,0_2,50,12272.42,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,5192.98,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
2,0_3,61,14690.918032786885,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,6555.180327868852,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
3,0_4,5,11290.4,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,8777.0,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
4,0_5,39,12051.128205128205,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,4288.410256410257,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
5,0_6,8,10843.625,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,3650.625,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
6,0_7,21,11398.619047619048,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,4110.619047619048,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
7,0_8,54,11905.25925925926,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,5863.12962962963,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
8,0_9,35,12372.542857142857,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C0_T0.tif,4956.518941403087,3853.415,4766.885714285714,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z00_C1_T0.tif,3444.721361820163,2581.945
9,1_1,43,11828.953488372093,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C0_T0.tif,4807.291843181429,3710.755,6322.325581395349,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C1_T0.tif,3365.8691677388774,2462.125
10,1_2,12,9954.75,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C0_T0.tif,4807.291843181429,3710.755,5232.416666666667,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C1_T0.tif,3365.8691677388774,2462.125
11,1_3,32,12635.28125,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C0_T0.tif,4807.291843181429,3710.755,5361.28125,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C1_T0.tif,3365.8691677388774,2462.125
12,1_4,56,14024.785714285714,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C0_T0.tif,4807.291843181429,3710.755,7284.446428571428,Expt2020_017_setIV_STLC_MG132_DMSO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell05_R3D_D3D_Z01_C1_T0.tif,3365.8691677388774,2462.125
