,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,fname_red,mean_intensity_red,intensity_ratio
1,Z0_C0_T00.tif,0_2,21,0.0,13.65685424949238,4810.31619047619,Z0_C1_T00.tif,2844.962857142857,1.6908186264713139
2,Z0_C0_T00.tif,0_3,14,0.8506877704240235,11.071067811865476,4198.911428571427,Z0_C1_T00.tif,735.605714285714,5.708100612905982
3,Z0_C0_T00.tif,0_4,17,0.7071067811865475,12.48528137423857,3886.0164705882353,Z0_C1_T00.tif,880.2905882352939,4.414470088085888
4,Z0_C0_T00.tif,0_5,54,0.895690308143707,27.31370849898476,4706.6177777777775,Z0_C1_T00.tif,2675.264444444445,1.7593093600715688
5,Z0_C0_T00.tif,0_6,16,0.5773502691896258,11.65685424949238,4867.34,Z0_C1_T00.tif,1502.6324999999997,3.239208522376563
6,Z0_C0_T00.tif,0_7,26,0.5440588203494177,15.65685424949238,4296.263076923076,Z0_C1_T00.tif,1958.050769230769,2.1941530548826815
7,Z0_C0_T00.tif,0_8,12,0.0,9.65685424949238,3767.589999999999,Z0_C1_T00.tif,511.9866666666664,7.358765853277431
8,Z0_C0_T00.tif,0_9,16,0.0,11.313708498984761,3843.5275,Z0_C1_T00.tif,1463.9449999999997,2.625458948252838
10,Z0_C0_T00.tif,0_11,21,0.0,13.65685424949238,4625.79238095238,Z0_C1_T00.tif,2778.058095238095,1.6651172230276645
11,Z0_C0_T00.tif,0_12,12,0.0,9.65685424949238,3806.2566666666658,Z0_C1_T00.tif,2384.736666666666,1.5960909730075017
12,Z0_C0_T00.tif,0_13,87,0.8830532423648544,43.21320343559642,4571.196321839082,Z0_C1_T00.tif,1535.6705747126439,2.976677678866412
13,Z0_C0_T00.tif,0_14,8,0.5773502691896258,7.65685424949238,4443.34,Z0_C1_T00.tif,6790.82,0.6543156791079723
14,Z0_C0_T00.tif,0_15,26,0.5440588203494177,15.65685424949238,4792.263076923076,Z0_C1_T00.tif,2139.627692307692,2.2397649339424976
15,Z0_C0_T00.tif,0_16,19,0.5207037318817047,13.071067811865476,3896.62947368421,Z0_C1_T00.tif,706.3463157894734,5.51659913356949
16,Z0_C0_T01.tif,1_1,12,0.0,9.65685424949238,5641.040000000001,Z0_C1_T01.tif,2476.116666666667,2.2781802149871777
17,Z0_C0_T01.tif,1_2,16,0.5773502691896258,11.65685424949238,5620.9775,Z0_C1_T01.tif,10281.95,0.5466839947675295
18,Z0_C0_T01.tif,1_3,24,0.5849866175853744,15.071067811865476,4600.331666666666,Z0_C1_T01.tif,1480.3666666666666,3.1075623156425207
19,Z0_C0_T01.tif,1_4,34,0.4678596948487089,18.48528137423857,5240.525294117649,Z0_C1_T01.tif,2286.170588235294,2.292272204482709
20,Z0_C0_T01.tif,1_5,18,0.7226591383582849,13.071067811865474,4832.067777777777,Z0_C1_T01.tif,1982.866666666666,2.4369100852861743
21,Z0_C0_T01.tif,1_6,30,0.4509717590117594,17.071067811865476,5033.390000000002,Z0_C1_T01.tif,2396.866666666666,2.0999874836592234
23,Z0_C0_T01.tif,1_8,20,0.7302967433402214,13.65685424949238,5313.789999999999,Z0_C1_T01.tif,2314.8499999999995,2.2955223880597018
24,Z0_C0_T01.tif,1_9,12,0.0,9.65685424949238,5011.040000000001,Z0_C1_T01.tif,4063.7833333333324,1.233097236975397
25,Z0_C0_T01.tif,1_10,26,0.5440588203494177,15.65685424949238,6102.674615384617,Z0_C1_T01.tif,868.0076923076922,7.030668817185246
26,Z0_C0_T01.tif,1_11,20,0.7302967433402214,13.65685424949238,5580.289999999999,Z0_C1_T01.tif,3359.1999999999994,1.6611961181233628
27,Z0_C0_T02.tif,2_1,62,0.8161094870336864,31.97056274847714,3905.2135483870966,Z0_C1_T02.tif,760.852580645161,5.132680952564676
28,Z0_C0_T02.tif,2_2,164,0.7448911379006906,50.2842712474619,4590.916341463416,Z0_C1_T02.tif,9528.938536585365,0.4817867513613475
29,Z0_C0_T02.tif,2_3,195,0.9004712852748922,61.94112549695428,3990.0174358974373,Z0_C1_T02.tif,8006.6428205128195,0.4983383829331205
