,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,39,8035.25641025641,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2607.2820512820513,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
1,0_2,32,7598.09375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2430.71875,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
2,0_3,26,8496.576923076924,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,1623.1538461538462,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
3,0_4,26,7831.2307692307695,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2724.1923076923076,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
4,0_5,28,7242.535714285715,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2180.3928571428573,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
5,0_6,12,7226.75,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2208.1666666666665,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
6,0_7,12,6785.75,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,1732.75,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
7,0_8,16,7495.9375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,1645.25,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
8,0_9,30,7610.266666666666,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,2124.1666666666665,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
9,0_10,30,9897.766666666666,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C0_T0.tif,2549.974322538004,1941.615,3392.4,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_timelapse_05_R3D_D3D_Z00_C1_T0.tif,2752.6596366079966,2324.355
