,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,83,15742.168674698794,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,7399.361445783133,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
1,0_2,61,12551.655737704918,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,4394.475409836065,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
2,0_3,40,13231.45,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,4094.575,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
3,0_4,69,17935.985507246376,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,6703.594202898551,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
4,0_5,32,16020.46875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,6442.03125,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
5,0_6,42,11548.47619047619,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,5243.119047619048,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
6,0_7,71,12764.295774647888,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,5223.521126760564,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
7,0_8,107,17377.18691588785,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T00.tif,5871.0719471947195,4377.7625,5560.289719626168,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T00.tif,4247.853022158122,3971.51
8,1_1,45,20197.37777777778,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,7693.333333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
9,1_2,74,16559.91891891892,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,4596.378378378378,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
10,1_3,50,22167.08,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,7455.52,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
11,1_4,26,11655.346153846154,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,5941.7692307692305,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
12,1_5,70,12776.771428571428,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,5519.271428571428,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
13,1_6,56,16545.23214285714,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,4777.696428571428,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
14,1_7,61,12295.852459016394,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T01.tif,5863.799733453914,4290.5525,4639.098360655737,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T01.tif,4151.841961439199,3855.135
15,2_1,30,13459.966666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,4422.4,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
16,2_2,21,14130.57142857143,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,6116.333333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
17,2_3,12,12149.333333333334,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,5131.333333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
18,2_4,98,18712.918367346938,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,6470.591836734694,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
19,2_5,40,14643.175,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,4628.9,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
20,2_6,39,14870.384615384615,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,5054.897435897436,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
21,2_7,50,17146.34,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,5851.74,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
22,2_8,56,18332.446428571428,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T02.tif,5774.825975879212,4262.825,4948.767857142857,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T02.tif,4016.3578662597115,3819.925
23,3_1,69,14287.347826086956,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,4751.057971014493,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
24,3_2,56,18475.660714285714,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,6083.107142857143,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
25,3_3,55,16454.70909090909,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,6107.018181818182,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
26,3_4,61,13464.344262295082,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,4625.688524590164,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
27,3_5,58,17922.120689655174,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,5741.879310344828,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
28,3_6,58,13296.224137931034,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,6003.0344827586205,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
29,3_7,12,12014.166666666666,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T03.tif,5777.047862290952,4228.6975,4499.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T03.tif,4025.5266058657567,3723.775
30,4_1,71,21281.014084507042,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,6175.887323943662,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
31,4_2,48,17192.375,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,5818.9375,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
32,4_3,21,14378.380952380952,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,4816.428571428572,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
33,4_4,39,15185.820512820514,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,4955.820512820513,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
34,4_5,16,16104.875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,4174.8125,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
35,4_6,8,14785.0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,4675.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
36,4_7,48,21537.729166666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T04.tif,5826.792867373941,4235.605,6210.229166666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T04.tif,3951.791497765305,3560.3525
37,5_1,75,15927.226666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C0_T05.tif,5713.014190729037,4173.1525,6318.506666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_05_R3D_D3D_Z0_C1_T05.tif,3923.410357444413,3479.78
