,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,12,6518.333333333333,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3229.0833333333335,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
1,0_2,16,6923.9375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3869.625,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
2,0_3,49,7890.816326530612,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3186.326530612245,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
3,0_4,50,6756.62,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3306.12,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
4,0_5,55,6697.272727272727,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,2678.7636363636366,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
5,0_6,42,8767.97619047619,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3513.809523809524,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
6,0_7,94,8044.446808510638,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3764.244680851064,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
7,0_8,65,7325.369230769231,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3700.5846153846155,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
8,0_9,30,8404.766666666666,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3462.2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
9,0_10,28,8303.67857142857,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3105.964285714286,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
10,0_11,56,8595.69642857143,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3859.6071428571427,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
11,0_12,71,7797.422535211268,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3325.4647887323945,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
12,0_13,77,8656.402597402597,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,3319.4285714285716,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
13,0_14,36,7664.472222222223,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,3083.369090909091,2330.1425,2978.9166666666665,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,2353.873534384032,2043.63
14,1_1,8,7452.5,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,3662.5,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
15,1_2,44,8671.386363636364,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,3278.5,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
16,1_3,16,7480.375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,2627.0625,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
17,1_4,16,7553.4375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,2602.1875,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
18,1_5,32,9726.0625,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,3716.0625,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
19,1_6,26,7422.461538461538,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,3053.8076923076924,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
20,1_7,26,9117.73076923077,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C0_T0.tif,3073.7759612917416,2408.385,3694.0384615384614,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z01_C1_T0.tif,2353.0346731067793,1999.7475
