,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,56,21593.571428571428,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1794.0535714285713,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
1,0_2,37,19627.891891891893,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1833.4324324324325,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
2,0_3,12,20257.166666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1310.0833333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
3,0_4,19,19532.57894736842,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1456.2105263157894,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
4,0_5,12,18389.25,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1694.5833333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
5,0_6,50,22951.84,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2291.88,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
6,0_7,26,20014.53846153846,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2241.269230769231,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
7,0_8,8,18868.75,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2306.875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
8,0_9,12,18232.916666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1637.8333333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
9,0_10,12,18891.416666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2140.3333333333335,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
10,0_11,36,19045.972222222223,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1948.9166666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
11,0_12,28,21925.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2038.9642857142858,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
12,0_13,30,21462.933333333334,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1832.8,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
13,0_14,12,18692.083333333332,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2489.3333333333335,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
14,0_15,26,20457.76923076923,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,2079.230769230769,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
15,0_16,21,20243.238095238095,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,9549.188475971432,5391.77,1738.5714285714287,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1787.3721985130312,960.2625
16,1_1,57,22702.754385964912,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1869.8947368421052,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
17,1_2,36,18057.972222222223,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1950.3055555555557,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
18,1_3,16,18085.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1902.3125,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
19,1_4,51,19157.196078431374,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1674.0588235294117,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
20,1_5,16,17706.75,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1650.6875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
21,1_6,59,21386.42372881356,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,2774.237288135593,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
22,1_7,59,18503.254237288136,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,2107.864406779661,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
23,1_8,12,17767.166666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1930.6666666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
24,1_9,16,19269.625,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1688.0625,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
25,1_10,8,17678.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,2213.125,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
26,1_11,46,19771.043478260868,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1945.7391304347825,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
27,1_12,69,19423.260869565216,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,1962.159420289855,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
28,1_13,30,21992.466666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,9385.084382436087,5359.6925,2131.0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1756.176940975101,976.735
