,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
0,0_1,10,10588.5,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,4109.2,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
1,0_2,21,11368.47619047619,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,7187.142857142857,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
2,0_3,14,10757.07142857143,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5077.785714285715,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
3,0_4,17,10444.176470588236,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5222.470588235294,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
4,0_5,54,11264.777777777777,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,7017.444444444444,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
5,0_6,16,11425.5,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5844.8125,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
6,0_7,26,10854.423076923076,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,6300.2307692307695,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
7,0_8,12,10325.75,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,4854.166666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
8,0_9,16,10401.6875,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5806.125,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
9,0_10,36,11307.25,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,3859.0,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
10,0_11,21,11183.952380952382,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,7120.238095238095,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
11,0_12,12,10364.416666666666,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,6726.916666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
12,0_13,87,11129.356321839081,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5877.850574712644,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
13,0_14,8,11001.5,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,11133.0,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
14,0_15,26,11350.423076923076,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,6481.807692307692,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
15,0_16,19,10454.78947368421,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T00.tif,7180.895661189481,6752.7275,5048.526315789473,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T00.tif,4755.3064925303015,4334.355
16,1_1,12,12788.25,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,6864.916666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
17,1_2,16,12768.1875,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,14670.75,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
18,1_3,24,11747.541666666666,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,5869.166666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
19,1_4,34,12387.735294117647,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,6674.970588235294,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
20,1_5,18,11979.277777777777,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,6371.666666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
21,1_6,30,12180.6,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,6785.666666666667,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
22,1_7,8,12184.875,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,4154.875,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
23,1_8,20,12461.0,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,6703.65,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
24,1_9,12,12158.25,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C0_T01.tif,7260.597966081053,7208.2075,8452.583333333334,Expt2020_017_setV_STLC_MG132_RO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z0_C1_T01.tif,4559.565548780488,4508.105
